,Man_mean,Tent_mean,M,D,prob,ranking,Length
comp69924_c0,2602.4968712207,2747.05388152582,-0.0779887790518915,144.557010305126,0.272418745275888,-144.557031342671,1743
comp69926_c0,1.7608211839056,1.65238295387964,0.0917003246519026,0.108438230025961,0.106739732930209,0.142013377089722,2917
comp69926_c1,1.36915750587998,1.72325606890052,-0.331848674482459,0.35409856302054,0.263328294280675,-0.485293040429157,2295
comp69927_c0,1.2406072454523,8.32060184664536,-2.74564142956781,7.07999460119306,0.971710758377425,-7.59373889547712,7501
comp69928_c0,58.398296100741,48.6884416643725,0.262346949852901,9.70985443636846,0.577084908037289,9.71339791718436,4795
comp69929_c0,2.94437601770405,2.7071518946721,0.121186088038167,0.237224123031949,0.16172335600907,0.266385721243222,2237
comp69930_c1,28.5199088967373,23.7681232662056,0.262941380873024,4.75178563053175,0.558702443940539,4.75905503732658,5530
comp69932_c1,19.1758269105407,0.0956577176404483,7.6471917068819,19.0801691929003,0.996157722348199,20.5555928504021,646
comp69933_c0,0.61660448900992,1.13500810277871,-0.880285299178501,0.518403613768786,0.360068027210884,-1.02158921035724,490
comp69934_c0,8.27082145411964,23.299063037213,-1.49416940920217,15.0282415830934,0.925815066767448,-15.1023371470516,3127
comp69935_c0,10.983790219314,11.8359167744398,-0.107795480549596,0.852126555125803,0.257316704459562,-0.85891765122012,3686
comp69936_c0,12.6964027010352,20.3054284421987,-0.677445675263453,7.60902574116343,0.752680776014109,-7.63912333796365,1266
comp69938_c0,32.7242072935294,40.2522559467885,-0.298711396705494,7.52804865325916,0.602282690854119,-7.53397272521999,2094
comp69940_c1,5.48960472803326,5.18855887314453,0.0813683891720164,0.301045854888727,0.149375157470396,0.311848395061019,1453
comp69942_c0,5.34309060381554,2.67075437348712,1.00042718251983,2.67233623032842,0.755631141345427,2.85346026351349,2522
comp69943_c0,0.0155100718488122,0.158611102658443,-3.35421648751091,0.143101030809631,0.189241622574956,-3.35726766137418,1948
comp69944_c0,8.08965078076301,6.4283871135517,0.331620614969455,1.66126366721131,0.506258503401361,1.69403931603404,3451
comp69947_c1,4.33688324806021,8.12220984328897,-0.905213695474355,3.78532659522877,0.771743512219703,-3.89205720243428,3553
comp69950_c0,115.716355253692,131.804420653886,-0.187805970244838,16.0880654001938,0.479634668682288,-16.0891615506643,835
comp69951_c0,9.25804503121645,8.73144147894657,0.0844877310161951,0.526603552269885,0.183499622071051,0.533338052229096,3022
comp69953_c0,8.76773649491761,9.10963490500018,-0.0551887947336295,0.341898410082567,0.132879818594104,-0.346324018631596,1723
comp69954_c1,14.4461623139467,15.5137791826014,-0.102863886724755,1.06761686865467,0.256374401612497,-1.07256084089814,3087
comp69955_c0,15.4428902917718,15.2596936621268,0.0172167923153776,0.183196629645044,0.0665532879818594,0.184003866945601,3596
comp69956_c0,186.789410907729,258.354832746729,-0.467941199872629,71.5654218390002,0.707684555303603,-71.5669516743628,3456
comp69957_c0,2.28242643712832,7.08005614002064,-1.63319243721373,4.79762970289232,0.900859158478206,-5.06799450503321,3177
comp69958_c2,12.5809581709103,32.1235779173588,-1.35239078623026,19.5426197464484,0.920924666162761,-19.5893580138032,10634
comp69960_c0,171.813927101116,350.119380634015,-1.02699993850061,178.305453532899,0.872285210380448,-178.308411154512,3989
comp69961_c1,11.4717448258147,8.73736211428089,0.392815150239207,2.73438271153377,0.597488032249937,2.76245408204231,4293
comp69966_c0,40.4605510498418,26.0791938119382,0.633616696602218,14.3813572379036,0.752464096749811,14.3953084761117,1834
comp69969_c3,7.3088536986857,6.64379955091534,0.137636608818761,0.665054147770364,0.260833963214916,0.679147153092534,1637
comp69970_c1,4.61817563503508,32.8339990589522,-2.82979552872481,28.2158234239171,0.991864449483497,-28.3573700159951,2473
comp69972_c0,1.89407931002238,4.18630670870969,-1.14418127269445,2.2922273986873,0.766951373141849,-2.56192451724821,1978
comp69974_c0,5.24783181961955,5.56390732375343,-0.0843769037720049,0.316075504133877,0.153214915595868,-0.327143983902555,1566
comp69975_c0,4.22932743468549,4.0288132507283,0.070073325006127,0.200514183957199,0.110634920634921,0.212405764623834,1043
comp69976_c1,0.638765749714294,0.13064457842649,2.28963970226381,0.508121171287804,0.419173595364072,2.34534370421344,473
comp69978_c1,0.0212846917657528,0.0652992803054557,-1.61725089334471,0.0440145885397029,0.104106827916352,-1.61784972603409,2839
