,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp55786_c0,0.14915822635502,10.2796785111989,-6.10680778867181,10.1305202848439,0.988145973578985,-11.8288014020616,529
comp55786_c1,0.148596425125811,6.16785110465851,-5.37529662459771,6.0192546795327,0.968396011540214,-8.07002110898651,531
comp55787_c0,0.450884009953174,0.264835223981698,0.767661329244331,0.186048785971476,0.204646454421218,0.789884844251764,700
comp55787_c1,0.509062591882616,0.398676681262771,0.352623829965488,0.110385910619845,0.170018221389887,0.369497787169155,1085
comp55789_c1,0.604633729822264,0.615581235819528,-0.0258877932882417,0.0109475059972639,0.0354102343473199,-0.0281073963378834,1305
comp55828_c0,0.258703940137067,1.41824327596756,-2.45473109209212,1.1595393358305,0.629571797337652,-2.71481789551748,305
comp55831_c0,0.300303336790887,0.352777653258209,-0.232338670755669,0.0524743164673221,0.132502404211166,-0.238190704724646,1051
comp55831_c1,0.0861405040849405,0.269846661990085,-1.64737617003451,0.183706157905145,0.213574935465911,-1.65758746316743,458
comp55831_c3,0.0638387554545352,0.399966897059738,-2.64737617003451,0.336128141605203,0.30323176595637,-2.66862936977872,618
comp55831_c4,0.0853946988547679,0.869408563576282,-3.3478158881756,0.784013864721514,0.514215214860556,-3.43839336917645,924
comp55833_c0,0.114354640205515,0.895578052112023,-2.96930426492187,0.781223411906508,0.513982385989776,-3.07035467609103,690
comp55841_c1,0.326727543444329,1.66321638249376,-2.3478158881756,1.33648883904943,0.672541377739535,-2.70156285539935,483
comp55853_c0,0.119191392359223,0.37338299453613,-1.64737617003451,0.254191602176908,0.250883231259807,-1.66687180557319,331
comp55854_c0,3.60382051224593,7.7243606994662,-1.09988837473202,4.12054018722027,0.835093890772891,-4.26481017999253,416
comp55854_c1,4.05024134416112,5.99151932582169,-0.564914009842539,1.94127798166057,0.579037809384016,-2.02180316564113,526
comp55854_c2,4.47052134514479,8.40270399035416,-0.910410575868306,3.93218264520938,0.759148656172496,-4.03619966948349,353
comp55854_c3,2.18842007912558,4.66556147024769,-1.09216101270741,2.47714139112211,0.754983043984411,-2.70722092731429,649
comp55857_c0,1.02252313272318,4.20418768091897,-2.03969359281327,3.18166454819579,0.871379764134231,-3.7793305293146,926
comp55857_c1,1.16550519559535,1.55171795439794,-0.412910916397489,0.386212758802582,0.271888444601913,-0.565381039602599,677
comp55868_c1,0.127060711339461,1.79115610422405,-3.81730117147682,1.66409539288458,0.742681075062003,-4.16425283939124,621
comp55884_c0,2.31548786149768,5.71916548402915,-1.3044884565115,3.40367762253147,0.836609809181556,-3.64509416768528,443
comp55893_c0,1.50294669984391,1.05934089592679,0.504626923410538,0.443605803917122,0.292526699397682,0.671888711841284,525
comp55895_c0,0.710853168845095,0.0695888351303261,3.35262382996549,0.641264333714768,0.459793997064332,3.41340101525547,444
comp55895_c1,0.477246179889953,0.062293231447308,2.93758633068664,0.414952948442645,0.343569367819001,2.9667489613478,496
comp55897_c0,0.500982233281305,0.980871199932215,-0.969304264921875,0.479888966650911,0.345358607075973,-1.08159335163869,315
comp55902_c0,0.145849725955278,0.114223448420942,0.352623829965488,0.0316262775343363,0.104692007895936,0.354039244844704,541
comp55914_c0,0.980182630332988,0.5757287477863,0.767661329244332,0.404453882546687,0.284853469656324,0.867690532116298,322
comp55925_c0,0.917496531881459,0.479030120897128,0.937586330686644,0.438466410984331,0.32253884699094,1.03504633763514,516
comp55927_c2,1.18781271439277,1.4618144979635,-0.299452866614205,0.274001783570724,0.229802095459837,-0.405892838965414,465
comp55935_c0,1.61629742860309,0.80551992396668,1.00470052654518,0.810777504636413,0.465214860555752,1.29103962373918,537
comp55942_c0,0.133510493640957,0.836478992835595,-2.64737617003451,0.702968499194638,0.483962646150731,-2.739117612759,591
comp55947_c0,1.52718777564785,6.11304244602916,-2.00101312464921,4.58585467038131,0.913218099913955,-5.00341049513994,465
