,Rhop_mean,Man_mean,M,D,prob,ranking,Length
comp11446_c0,NA,NA,NA,NA,NA,0,816
comp11482_c0,0.648887349850374,0.298160723304139,1.12187781675525,0.350726626546235,0.314337054595504,1.17542290359513,608
comp11500_c0,0.0872839621037671,0.534754335601524,-2.61508777741096,0.447470373497757,0.379851659275119,-2.65309513940274,452
comp11525_c0,0.170789397709536,0.130794891608165,0.384912222589039,0.0399945061013708,0.132482030891574,0.386984469477428,462
comp11539_c0,11.9315056717741,7.57007917357323,0.656395818258651,4.3614264982009,0.714046490289035,4.41054379520671,1812
comp11548_c0,6.3995791965279,4.30853760591602,0.570778767900373,2.09104159061188,0.597094356935311,2.16754315656102,1122
comp11555_c0,7.22118922190631,1.75346901562196,2.04202450906603,5.46772020628435,0.933203344038334,5.83659389968469,448
comp11561_c0,1.82438616744059,1.2225164146266,0.577557300531435,0.601869752813985,0.352992302594688,0.834158039432292,346
comp11582_c0,0.491618079388196,0.564740560027777,-0.200050278132117,0.0731224806395812,0.156739052862313,-0.212995330830569,321
comp11586_c0,0.527790647102378,0.202097792384522,1.38491222258904,0.325692854717856,0.305434062292909,1.42269381804054,299
comp11626_c0,1.21391848833547,1.32807120709829,-0.129660950240719,0.11415271876282,0.162422898506398,-0.172750702511654,455
comp11631_c0,0.413980596756587,20.9878451358907,-5.66384708933082,20.5738645391341,0.996446959270021,-21.3392377072369,953
comp11640_c0,NA,NA,NA,NA,NA,0,727
comp11645_c0,0.581607138145987,0.445409630881859,0.384912222589039,0.136197507264128,0.189328133761533,0.408297906048263,407
comp11658_c0,NA,NA,NA,NA,NA,0,321
comp11687_c0,0.224586437595272,4.87316450991711,-4.43951621282751,4.64857807232184,0.950068817862058,-6.42795319665831,2108
comp11688_c0,0.332230323123392,0.254430483886199,0.384912222589039,0.0777998392371929,0.163177346179334,0.392696109076429,475
comp11698_c0,0.437145162004463,0.0836942381204601,2.38491222258904,0.353450923884003,0.320319110975175,2.41096119111218,361
comp11701_c0,3.51136012866347,0.185454444776385,4.24289321771661,3.32590568388708,0.908816332772595,5.39108444332474,1955
comp11719_c0,0.136749916363614,0.628359513930387,-2.20005027813212,0.491609597566772,0.402434113269103,-2.25430726005329,577
comp11726_c0,0.11176303362862,0.171181982784624,-0.615087777410961,0.0594189491560041,0.149801192842942,-0.617951118972334,353
comp11737_c0,10.7661711532805,7.24150496383913,0.57214380434507,3.52466618944134,0.671379415812815,3.57080106976591,2228
comp11744_c0,NA,NA,NA,NA,NA,0,847
comp11763_c0,0.435937578684008,0.333852154270565,0.384912222589039,0.102085424413444,0.172485599225162,0.398219603957548,362
comp11765_c0,0.0464145304363562,0.355454352488072,-2.93701587229832,0.309039822051716,0.297229443849722,-2.95323006989737,850
comp11771_c0,0.0558815168143098,0.171181982784624,-1.61508777741096,0.115300465970314,0.189794565937707,-1.61919817384879,706
